id_evidencia,id_reporte,tipo_evidencia,descripcion,hash_demo,estado_cadena_custodia_demo
EVD-00012-2,NEXO-147-00012,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00012-2,Pendiente
EVD-00012-3,NEXO-147-00012,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00012-3,Validada
EVD-00013-1,NEXO-147-00013,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00013-1,Pendiente
EVD-00014-1,NEXO-147-00014,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00014-1,Pendiente
EVD-00014-2,NEXO-147-00014,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00014-2,Recibida
EVD-00014-3,NEXO-147-00014,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00014-3,Pendiente
EVD-00015-1,NEXO-147-00015,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00015-1,Recibida
EVD-00015-2,NEXO-147-00015,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00015-2,Pendiente
EVD-00015-3,NEXO-147-00015,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00015-3,Pendiente
EVD-00016-1,NEXO-147-00016,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00016-1,Validada
EVD-00016-2,NEXO-147-00016,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00016-2,Recibida
EVD-00016-3,NEXO-147-00016,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00016-3,Recibida
EVD-00017-1,NEXO-147-00017,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00017-1,Pendiente
EVD-00018-1,NEXO-147-00018,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00018-1,Validada
EVD-00018-2,NEXO-147-00018,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00018-2,Recibida
EVD-00018-3,NEXO-147-00018,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00018-3,Validada
EVD-00018-4,NEXO-147-00018,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00018-4,Validada
EVD-00019-1,NEXO-147-00019,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00019-1,Recibida
EVD-00019-2,NEXO-147-00019,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00019-2,Recibida
EVD-00019-3,NEXO-147-00019,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00019-3,Validada
EVD-00020-1,NEXO-147-00020,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00020-1,Validada
EVD-00020-2,NEXO-147-00020,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00020-2,Pendiente
EVD-00021-1,NEXO-147-00021,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00021-1,Pendiente
EVD-00022-1,NEXO-147-00022,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00022-1,Recibida
EVD-00022-2,NEXO-147-00022,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00022-2,Validada
EVD-00022-3,NEXO-147-00022,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00022-3,Pendiente
EVD-00023-1,NEXO-147-00023,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00023-1,Pendiente
EVD-00024-1,NEXO-147-00024,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00024-1,Pendiente
EVD-00024-2,NEXO-147-00024,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00024-2,Pendiente
EVD-00024-3,NEXO-147-00024,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00024-3,Validada
EVD-00024-4,NEXO-147-00024,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00024-4,Validada
EVD-00025-1,NEXO-147-00025,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00025-1,Pendiente
EVD-00025-2,NEXO-147-00025,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00025-2,Validada
EVD-00025-3,NEXO-147-00025,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00025-3,Pendiente
EVD-00026-1,NEXO-147-00026,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00026-1,Pendiente
EVD-00027-1,NEXO-147-00027,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00027-1,Pendiente
EVD-00028-1,NEXO-147-00028,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00028-1,Recibida
EVD-00028-2,NEXO-147-00028,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00028-2,Validada
EVD-00028-3,NEXO-147-00028,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00028-3,Pendiente
EVD-00029-1,NEXO-147-00029,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00029-1,Recibida
EVD-00029-2,NEXO-147-00029,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00029-2,Recibida
EVD-00030-1,NEXO-147-00030,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00030-1,Recibida
EVD-00030-2,NEXO-147-00030,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00030-2,Pendiente
EVD-00031-1,NEXO-147-00031,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00031-1,Validada
EVD-00031-2,NEXO-147-00031,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00031-2,Validada
EVD-00032-1,NEXO-147-00032,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00032-1,Validada
EVD-00033-1,NEXO-147-00033,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00033-1,Validada
EVD-00033-2,NEXO-147-00033,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00033-2,Validada
EVD-00033-3,NEXO-147-00033,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00033-3,Validada
EVD-00034-1,NEXO-147-00034,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00034-1,Recibida
EVD-00034-2,NEXO-147-00034,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00034-2,Validada
EVD-00035-1,NEXO-147-00035,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00035-1,Validada
EVD-00035-2,NEXO-147-00035,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00035-2,Validada
EVD-00035-3,NEXO-147-00035,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00035-3,Recibida
EVD-00036-1,NEXO-147-00036,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00036-1,Validada
EVD-00037-1,NEXO-147-00037,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00037-1,Pendiente
EVD-00037-2,NEXO-147-00037,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00037-2,Pendiente
EVD-00038-1,NEXO-147-00038,Sin evidencia inicial,Evidencia sintética tipo Sin evidencia inicial,SHA256-DEMO-00038-1,Pendiente
EVD-00039-1,NEXO-147-00039,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00039-1,Recibida
EVD-00039-2,NEXO-147-00039,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00039-2,Recibida
EVD-00039-3,NEXO-147-00039,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00039-3,Validada
EVD-00040-1,NEXO-147-00040,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00040-1,Pendiente
EVD-00041-1,NEXO-147-00041,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00041-1,Recibida
EVD-00041-2,NEXO-147-00041,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00041-2,Recibida
EVD-00041-3,NEXO-147-00041,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00041-3,Pendiente
EVD-00042-1,NEXO-147-00042,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00042-1,Validada
EVD-00042-2,NEXO-147-00042,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00042-2,Validada
EVD-00042-3,NEXO-147-00042,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00042-3,Pendiente
EVD-00043-1,NEXO-147-00043,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00043-1,Validada
EVD-00043-2,NEXO-147-00043,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00043-2,Validada
EVD-00043-3,NEXO-147-00043,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00043-3,Validada
EVD-00044-1,NEXO-147-00044,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00044-1,Validada
EVD-00045-1,NEXO-147-00045,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00045-1,Pendiente
EVD-00045-2,NEXO-147-00045,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00045-2,Pendiente
EVD-00045-3,NEXO-147-00045,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00045-3,Validada
EVD-00046-1,NEXO-147-00046,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00046-1,Recibida
EVD-00047-1,NEXO-147-00047,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00047-1,Recibida
EVD-00047-2,NEXO-147-00047,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00047-2,Validada
EVD-00047-3,NEXO-147-00047,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00047-3,Recibida
EVD-00048-1,NEXO-147-00048,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00048-1,Validada
EVD-00048-2,NEXO-147-00048,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00048-2,Validada
EVD-00048-3,NEXO-147-00048,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00048-3,Pendiente
EVD-00049-1,NEXO-147-00049,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00049-1,Recibida
EVD-00049-2,NEXO-147-00049,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00049-2,Pendiente
EVD-00050-1,NEXO-147-00050,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00050-1,Recibida
EVD-00050-2,NEXO-147-00050,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00050-2,Validada
EVD-00050-3,NEXO-147-00050,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00050-3,Validada
EVD-00051-1,NEXO-147-00051,Sin evidencia inicial,Evidencia sintética tipo Sin evidencia inicial,SHA256-DEMO-00051-1,Recibida
EVD-00052-1,NEXO-147-00052,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00052-1,Recibida
EVD-00052-2,NEXO-147-00052,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00052-2,Pendiente
EVD-00052-3,NEXO-147-00052,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00052-3,Validada
EVD-00052-4,NEXO-147-00052,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00052-4,Validada
EVD-00053-1,NEXO-147-00053,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00053-1,Recibida
EVD-00054-1,NEXO-147-00054,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00054-1,Validada
EVD-00055-1,NEXO-147-00055,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00055-1,Validada
EVD-00055-2,NEXO-147-00055,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00055-2,Validada
EVD-00055-3,NEXO-147-00055,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00055-3,Recibida
EVD-00056-1,NEXO-147-00056,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00056-1,Pendiente
EVD-00056-2,NEXO-147-00056,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00056-2,Validada
EVD-00057-1,NEXO-147-00057,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00057-1,Pendiente
EVD-00058-1,NEXO-147-00058,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00058-1,Pendiente
EVD-00059-1,NEXO-147-00059,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00059-1,Pendiente
EVD-00060-1,NEXO-147-00060,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00060-1,Pendiente
EVD-00060-2,NEXO-147-00060,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00060-2,Pendiente
EVD-00061-1,NEXO-147-00061,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00061-1,Pendiente
EVD-00062-1,NEXO-147-00062,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00062-1,Pendiente
EVD-00063-1,NEXO-147-00063,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00063-1,Validada
EVD-00063-2,NEXO-147-00063,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00063-2,Validada
EVD-00064-1,NEXO-147-00064,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00064-1,Validada
EVD-00064-2,NEXO-147-00064,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00064-2,Pendiente
EVD-00064-3,NEXO-147-00064,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00064-3,Validada
EVD-00065-1,NEXO-147-00065,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00065-1,Recibida
EVD-00066-1,NEXO-147-00066,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00066-1,Validada
EVD-00066-2,NEXO-147-00066,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00066-2,Validada
EVD-00067-1,NEXO-147-00067,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00067-1,Pendiente
EVD-00067-2,NEXO-147-00067,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00067-2,Validada
EVD-00067-3,NEXO-147-00067,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00067-3,Validada
EVD-00067-4,NEXO-147-00067,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00067-4,Recibida
EVD-00068-1,NEXO-147-00068,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00068-1,Pendiente
EVD-00068-2,NEXO-147-00068,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00068-2,Pendiente
EVD-00069-1,NEXO-147-00069,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00069-1,Validada
EVD-00069-2,NEXO-147-00069,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00069-2,Pendiente
EVD-00070-1,NEXO-147-00070,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00070-1,Pendiente
EVD-00070-2,NEXO-147-00070,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00070-2,Pendiente
EVD-00070-3,NEXO-147-00070,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00070-3,Recibida
EVD-00071-1,NEXO-147-00071,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00071-1,Recibida
EVD-00072-1,NEXO-147-00072,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00072-1,Validada
EVD-00073-1,NEXO-147-00073,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00073-1,Validada
EVD-00073-2,NEXO-147-00073,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00073-2,Validada
EVD-00073-3,NEXO-147-00073,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00073-3,Pendiente
EVD-00073-4,NEXO-147-00073,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00073-4,Pendiente
EVD-00074-1,NEXO-147-00074,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00074-1,Validada
EVD-00075-1,NEXO-147-00075,Sin evidencia inicial,Evidencia sintética tipo Sin evidencia inicial,SHA256-DEMO-00075-1,Validada
EVD-00076-1,NEXO-147-00076,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00076-1,Pendiente
EVD-00076-2,NEXO-147-00076,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00076-2,Validada
EVD-00077-1,NEXO-147-00077,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00077-1,Validada
EVD-00077-2,NEXO-147-00077,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00077-2,Recibida
EVD-00078-1,NEXO-147-00078,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00078-1,Pendiente
EVD-00079-1,NEXO-147-00079,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00079-1,Pendiente
EVD-00079-2,NEXO-147-00079,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00079-2,Pendiente
EVD-00079-3,NEXO-147-00079,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00079-3,Recibida
EVD-00080-1,NEXO-147-00080,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00080-1,Pendiente
EVD-00080-2,NEXO-147-00080,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00080-2,Pendiente
EVD-00080-3,NEXO-147-00080,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00080-3,Recibida
EVD-00081-1,NEXO-147-00081,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00081-1,Recibida
EVD-00081-2,NEXO-147-00081,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00081-2,Recibida
EVD-00082-1,NEXO-147-00082,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00082-1,Validada
EVD-00083-1,NEXO-147-00083,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00083-1,Pendiente
EVD-00083-2,NEXO-147-00083,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00083-2,Recibida
EVD-00084-1,NEXO-147-00084,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00084-1,Validada
EVD-00085-1,NEXO-147-00085,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00085-1,Pendiente
EVD-00085-2,NEXO-147-00085,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00085-2,Validada
EVD-00085-3,NEXO-147-00085,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00085-3,Validada
EVD-00086-1,NEXO-147-00086,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00086-1,Recibida
EVD-00086-2,NEXO-147-00086,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00086-2,Validada
EVD-00086-3,NEXO-147-00086,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00086-3,Pendiente
EVD-00087-1,NEXO-147-00087,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00087-1,Validada
EVD-00088-1,NEXO-147-00088,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00088-1,Recibida
EVD-00088-2,NEXO-147-00088,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00088-2,Pendiente
EVD-00088-3,NEXO-147-00088,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00088-3,Recibida
EVD-00089-1,NEXO-147-00089,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00089-1,Validada
EVD-00089-2,NEXO-147-00089,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00089-2,Recibida
EVD-00089-3,NEXO-147-00089,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00089-3,Pendiente
EVD-00090-1,NEXO-147-00090,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00090-1,Recibida
EVD-00090-2,NEXO-147-00090,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00090-2,Recibida
EVD-00091-1,NEXO-147-00091,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00091-1,Recibida
EVD-00091-2,NEXO-147-00091,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00091-2,Pendiente
EVD-00092-1,NEXO-147-00092,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00092-1,Validada
EVD-00093-1,NEXO-147-00093,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00093-1,Pendiente
EVD-00093-2,NEXO-147-00093,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00093-2,Pendiente
EVD-00093-3,NEXO-147-00093,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00093-3,Recibida
EVD-00094-1,NEXO-147-00094,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00094-1,Recibida
EVD-00094-2,NEXO-147-00094,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00094-2,Validada
EVD-00094-3,NEXO-147-00094,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00094-3,Recibida
EVD-00094-4,NEXO-147-00094,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00094-4,Recibida
EVD-00095-1,NEXO-147-00095,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00095-1,Validada
EVD-00096-1,NEXO-147-00096,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00096-1,Recibida
EVD-00097-1,NEXO-147-00097,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00097-1,Pendiente
